share_agricultural_use_1995,share_agricultural_use_2008,share_agricultural_use_2017,site_area_ha,share_amazon_biome,share_forest_1995,share_forest_2008,share_forest_2017,share_other_1995,share_other_2008,share_other_2017,id,z_1995,z_2008,z_2017,area_amazon_biome,area_forest_1995,area_forest_2008,area_forest_2017,area_other_1995,area_other_2008,area_other_2017,zbar_1995,zbar_2008,zbar_2017,gamma,alpha,delta,kappa,zeta,zeta_alt,x_1995,x_2008,x_2017,mean_pa_2017,theta,pasture_area_2017
2.5679011014290154e-4,2.949135669041425e-4,0.0010006913216784596,451631.96875,0.2464904636144638,0.2461603879928589,0.24647921323776245,0.24445076286792755,4.5017283991910517e-4,9.343209967482835e-5,0.0014159012353047729,12,115.97462299936797,133.19239483200272,451.9441917206823,111322.97336030053,111173.90065747872,111317.89233052172,110401.77929648152,203.31244597044406,42.19692312058896,639.4662624562516,111289.87528047808,111451.08472535372,110853.7234882022,844.9948627035153,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,93941374.92228048,94063047.1462739,93288936.3388542,44.973619778118355,0.30576456684206066,9961.438792292556
0.002730666659772396,2.9767901287414134e-4,5.886419676244259e-4,451631.96875,0.8079105019569397,0.8029862642288208,0.8056454062461853,0.8026881814002991,0.002756740665063262,0.0025311606004834175,0.005197431892156601,13,1233.2563595529937,134.44135863990505,265.8495307270932,364878.2105726134,362654.26739287004,363855.2209373582,362519.6436581742,1245.0322138957054,1143.153045218758,2347.3263978987234,363887.523752423,363989.66229599813,362785.4931889013,846.500328692215,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,306986956.54969895,308003564.11985224,306872997.51402915,44.973619778118355,0.3393861570343463,31601.19975651524
0.0053979260846972466,9.441975271329284e-5,4.813827108591795e-4,451631.96875,0.722812831401825,0.7109732627868652,0.716568112373352,0.7149831056594849,0.00700760493054986,0.006717234384268522,0.007914469577372074,14,2437.8759847987967,42.6429788067926,217.40782142754324,326445.382083768,321098.25440104306,323625.0673346482,322909.2276319824,3164.8584110064403,3033.7177895223867,3574.4274768405303,323536.1303858418,323667.710313455,323126.63545341,851.4479135470625,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,273398438.753372,275549888.35361385,274940388.1323449,44.973619778118355,0.44988062962946257,25203.195177951617
0.0011875556083396077,1.048888880177401e-4,2.8681481489911675e-4,451631.96875,0.6608622074127197,0.6580629944801331,0.6596531271934509,0.6595579385757446,9.121975162997842e-4,4.035555466543883e-4,3.174321027472615e-4,15,536.338077394521,47.37117499545025,129.53473951955493,298466.49980627745,297202.2857585829,297920.4405264724,297877.4503036551,411.97756017533175,182.25858603550387,143.362485508198,297738.6238359774,297967.81170146784,298006.98504317465,844.9948627035153,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,251134404.64974466,251741241.73923734,251704915.22181025,44.973619778118355,0.30576456684206066,26248.130689113394
6.656789919361472e-4,0.00402765441685915,0.0089629627764225,451631.96875,1,0.9981321692466736,0.9942710399627686,0.9878389835357666,0.0012021728325635195,0.0017013333272188902,0.003198024583980441,16,300.64191368363754,1819.017493730731,4047.96052454866,451631.96875,450788.3966695834,449044.5872494951,446139.6649422571,542.9396831484264,768.3765200718553,1444.3301389739863,451089.038583267,450863.60474322585,450187.62546680577,844.9948627035153,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,380913879.3521524,379440369.3506438,376985724.9244749,44.973619778118355,0.30576456684206066,39672.10712312611
0.011253531090915203,0.022797826677560806,0.028312690556049347,451631.96875,1,0.5682441592216492,0.5514879822731018,0.5487869381904602,0.4205005466938019,0.42571279406547546,0.42289894819259644,17,5082.454401979368,10296.227345608058,12786.916176438099,451631.96875,256637.22835996188,249069.60317596607,247849.7253192421,189911.48976377305,192265.507305854,190994.68455452658,261719.68276194125,259365.83052157413,260636.6414956802,844.9948627035153,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,216857139.5426367,210462535.13929448,209431744.61723697,44.973619778118355,0.30576456684206066,39614.98687073439
0.00815881509333849,0.006087703630328178,0.005048493854701519,451631.96875,1,0.030910814180970192,0.03582143038511276,0.039506569504737854,0.960930347442627,0.9580908417701721,0.9554449319839478,18,3684.781723271677,2749.4015757316374,2280.0612188211235,451631.96875,13960.311864216987,16178.103128269548,17842.42976398347,433986.86464713514,432704.45311000757,431509.47566412017,17645.093587488664,18927.504704001185,20122.490982804593,788.9054619717886,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,11013366.280510342,12762993.922234725,14075990.295654569,44.973619778118355,0.26765618212101866,29789.699879438936
0.0011241481406614184,0.004220049362629652,0.006465382874011993,451631.96875,1,0.017428148537874222,0.016404543071985245,0.011981234885752201,0.981447696685791,0.979375422000885,0.9815533757209778,19,507.70123793356834,1905.9092018666124,2919.97359611257,451631.96875,7871.109035827569,7408.816084044869,5411.108699508448,443253.15547935665,442317.24998362176,443300.88351007365,8378.810273761137,9314.725285911481,8331.082295621018,566.2404607449856,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,4456940.407021022,4195171.433004427,3063988.6831508637,44.973619778118355,0.21946085535143195,17718.581287825706
0.0052161975763738155,0.004224790260195732,0.011682765558362007,451631.96875,0.5827417373657227,0.023841580376029015,0.028452740982174873,0.017926320433616638,0.5542234182357788,0.5506255626678467,0.5536786317825317,20,2355.801580806685,1908.0503427680233,5276.310409567726,263184.79811927676,10767.61988333735,12850.167426113447,8096.099389877636,250305.01350517944,248680.1069117561,250058.97052675113,13123.421464144034,14758.21776888147,13372.409799445362,514.1800918529843,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,5536495.780652419,6607300.26748524,4162853.1279381732,44.973619778118355,0.22376456637535874,14143.106634559921
0.0056669628247618675,0.006237827241420746,0.009578864090144634,451631.96875,0.5946605205535889,0.506071925163269,0.5066109895706177,0.49946942925453186,0.08319960534572601,0.08209303766489029,0.0858929380774498,21,2559.3815773802635,2817.202197765233,4326.121247420699,268567.7016355172,228558.25989058986,228801.71861016378,225576.36166466307,37575.601561513264,37075.840221262304,38791.99672564049,231117.64146797013,231618.920807929,229902.48291208377,560.9073924509113,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,128200017.57834846,128336575.37391411,126527448.81988987,44.973619778118355,0.1517266175023347,395.6772308290206
